true_close,predicted_close,return
114.68,114.19307,0.0
114.78,114.48713,0.0
115.12,114.37497,0.0
114.54,114.28368,0.0
114.48,114.459045,0.0
114.59,114.55552,0.0
114.65,114.6035,0.0
112.5,114.877815,0.0
113.15,114.46942,0.0
113.4,114.385864,0.0
113.47,114.42852,0.0
113.59,114.38728,0.0
113.82,109.42753,-0.011733333333333273
113.6,113.88051,0.0039770216526733414
113.49,113.939896,0.0
113.48,114.037155,0.0
113.22,114.03938,0.0
113.28,114.12785,0.0
113.37,114.19623,-0.002024647887323854
113.01,114.14166,-0.004229447528416511
113.0,113.96047,0.0
113.17,113.920494,-0.0004416180886768871
113.13,113.76126,0.0
113.21,113.721725,0.0
113.29,113.53344,0.0
113.24,113.54603,0.0
113.25,113.69956,0.0
113.2,113.56506,0.0
113.11,113.65161,0.0
113.22,113.687706,0.0
113.15,113.53141,0.0
113.06,113.69366,0.0
112.8,113.130104,0.0
112.69,113.14755,0.0
112.7,113.07687,0.0
112.78,113.01369,0.0
113.15,113.07952,0.0
113.09,112.91353,0.0
112.95,112.868515,0.0
112.7,112.77465,0.0
112.84,112.81185,0.0
112.57,113.01109,0.0
112.72,112.92992,0.0
113.34,112.813255,0.0
113.82,112.68914,0.0
113.16,112.71707,0.0
113.59,112.676285,0.0
113.84,112.765305,0.0
113.5,113.1213,0.0
112.81,113.45594,0.0
112.73,112.93466,0.0
112.93,113.304344,0.0
112.8,113.52278,0.0
112.96,113.11138,0.0
112.83,112.93095,0.0
112.91,112.87928,0.0
112.91,112.79969,0.0
112.85,112.799126,0.0
112.59,112.97291,0.0
112.24,112.81448,0.0
112.35,112.87721,0.0
112.33,112.791336,0.0
112.3,112.8476,0.0
111.93,112.6742,0.0
111.86,112.20517,0.0
111.62,112.70646,0.0
111.89,112.546844,0.0
112.02,112.426834,0.0
112.01,112.08122,0.0
112.08,111.78643,0.0
112.02,111.45579,0.0
112.12,111.89136,0.0
112.23,111.97111,0.0
112.16,112.40344,0.0
112.24,111.99141,0.0
112.11,112.51091,0.0
112.14,112.630646,0.0
112.04,112.68142,0.0
111.94,112.520905,0.0
111.83,112.66514,0.0
112.12,112.499016,0.0
112.4,112.58383,0.0
112.3,112.51166,0.0
113.08,112.52612,0.010184027157405759
113.51,111.92448,0.0
113.41,112.08845,0.0
113.45,112.773384,0.0
113.67,112.6044,0.0
113.73,113.55931,0.0
113.79,113.437096,0.0
113.42,113.2554,0.0
113.62,113.340004,0.0
113.46,113.48651,0.0
113.31,113.575294,0.0
113.27,113.58332,0.0
113.02,113.11251,0.0
113.25,113.4134,0.0
113.38,113.42996,0.0
113.6,113.2561,0.0
113.57,113.19739,0.0
113.52,113.04624,0.0
113.4,113.254265,0.0
113.5,113.12966,0.0
113.63,113.37682,0.0
113.52,113.416115,0.0
113.35,113.22375,0.0
113.56,113.2686,0.0
113.65,113.325356,0.0
114.44,113.37982,0.0
114.76,113.42558,0.0
114.63,113.23149,0.0
114.95,113.19669,0.0
114.93,113.42613,0.0
114.84,114.075195,0.0
114.83,114.49125,0.0
114.99,114.35959,0.0
115.08,114.5214,0.0
115.33,114.71069,0.0
115.25,114.52464,0.0
115.15,114.64442,0.0
115.24,114.661224,0.0
115.14,114.883736,0.0
115.25,115.261185,0.0
115.2,115.059616,0.0
115.1,114.9136,0.0
115.25,115.01219,0.0
115.2,114.87537,0.0
115.13,114.99259,0.0
114.91,115.00224,0.0
115.04,114.843925,0.0
115.05,115.04067,0.0
