true_close,predicted_close,return
572.7,561.4795,-0.006502636203866512
573.5,561.4667,-0.007997187802091492
573.65,562.32666,-0.005521472392637997
573.35,562.77454,-0.004203520448375474
572.65,564.2203,-0.0002620087336244144
572.9,564.7489,-0.00034922297887189066
572.5,565.0614,0.0017436791630340018
573.05,565.66516,0.0010459339318400118
573.05,565.56244,0.0005232406034709482
573.3,564.89465,-0.001135073779795647
573.5,564.75116,-0.0010473031942747823
573.55,564.90784,-0.0018340611353710996
573.95,565.17926,-0.0015705435825845756
574.0,565.1838,-0.001657796003839186
572.95,565.0835,0.0006105006105004519
573.45,565.8107,8.71839581516208e-05
573.75,565.8107,-0.0003487054310871685
574.05,565.90466,-0.00017423120480862279
575.3,566.08795,-0.002264808362369259
575.0,565.2861,-0.003577973645169656
574.6,565.388,-0.0020054058767110944
574.4,565.8928,-0.0011328976034857992
574.7,565.9556,-0.0011323055482973451
575.55,566.2973,-0.00043455588388666784
575.0,567.4206,0.0
574.65,566.96674,-8.701705534276806e-05
576.1,566.129,-0.0029596100278552325
576.3,566.27924,-0.002784061249347327
575.8,566.53534,-0.0004343671270958214
577.7,567.4797,-0.004695652173913122
577.0,566.92346,-0.004089445749586745
576.9,567.05035,-0.0013886478042005807
577.8,568.64026,-0.0026028110359187927
576.8,568.3121,-0.001736714136853074
576.25,568.49756,0.00250995326293932
576.65,569.1062,0.0006065857885615646
575.45,569.0334,0.0025134338706880427
575.5,569.28485,0.003980616130148762
574.55,568.8902,0.003900832177531207
574.1,568.6807,0.0037310195227765333
573.45,568.6726,0.0055492933321771125
574.5,568.18823,0.0016508819184986453
574.4,567.5099,0.0019113814074718032
573.8,566.9371,0.0013053694195457315
573.25,565.9729,0.0014805782964640703
573.9,565.5439,-0.0007847240387129336
574.4,566.24854,0.00017406440382945645
573.85,566.10126,0.0009575208913648233
574.05,565.543,-0.000435691878703381
574.8,565.35266,-0.0027038813781072035
574.85,566.10974,-0.001655340651681557
574.75,566.1455,-0.0006093314763231594
574.2,565.65875,-0.000609915483140233
573.8,565.9219,0.00043550213396045643
573.9,566.4028,0.001565762004175326
572.7,567.07996,0.0037401061146385617
572.65,567.07745,0.003653762505437186
