true_close,predicted_close,return
327.9,320.93552,-0.0015271838729383018
327.51,321.02295,-0.00021377962374784137
327.27,321.48862,-0.0008256880733944398
327.35,321.32944,-0.0007642922653622744
325.83,321.36047,0.004217475016044728
326.06,321.14035,0.005611466910643413
324.91,322.14862,0.00793868889499547
326.04,321.53046,0.0037583646530386576
325.66,321.36047,0.005162669925156553
326.1,320.09998,-0.0008286529785472138
325.5,319.54022,0.0017174753112924072
324.71,318.94122,0.0006155550767906358
325.18,319.48706,0.002637713164028995
325.43,319.1979,0.0007062580605540077
325.29,319.3316,0.002483900643974248
325.62,318.9585,-0.00036866359447006007
325.84,318.88675,-0.0034800283329740247
325.41,319.35696,-0.0007073005719909533
325.49,319.32864,-0.00018437144700858026
324.74,319.3002,0.0016907989793722873
324.2,319.4779,0.004360911491923149
324.57,319.47406,0.003897618463049294
324.41,319.4318,0.0030730463108079036
324.36,319.53076,0.003471688838366756
325.32,319.0375,-0.0017860442199913286
325.23,319.34314,-0.0031770512029612266
325.25,318.27264,-0.0020950796438364816
325.42,319.3956,-0.0031133442249005605
325.55,318.18582,-0.0036687631027253597
325.4,318.45932,-0.0002459117176932992
325.12,319.46286,0.0003382221812256361
325.0,319.5226,0.0007686395080707148
325.12,319.57043,0.0009218855632721141
325.24,319.57043,0.0009522346797726993
324.35,319.5322,0.0032267977873385208
324.26,319.5075,0.002645177165354373
324.28,319.51685,0.0022153846153846993
323.36,319.54977,0.005413385826771626
324.26,319.56512,0.0030131595129750896
324.81,319.1213,-0.0014182210574995515
324.41,318.19693,-0.00046259174736333223
324.52,318.2027,-0.0007401011471568062
324.49,317.72012,-0.003494557149925765
324.59,318.23865,-0.0010177018441990505
324.5,318.33194,0.0009544041131738625
324.46,319.4133,-0.00015412595172761172
324.85,318.28796,-0.0010168864784914364
323.75,319.50894,0.0022805017103763106
323.65,319.54187,0.0028959610585661843
324.12,319.50894,0.0011710323574730215
323.84,319.50894,0.0019108672871848752
324.36,318.4273,0.001508388486994025
324.19,319.07065,-0.0013590733590733521
324.05,318.20773,-0.0012359029816160485
324.12,318.29968,0.0
324.41,318.20352,-0.0017601284584981784
324.93,318.35706,-0.00175730669626339
325.17,318.23798,-0.003022918658811247
325.1,318.23798,-0.0032402407035951593
325.44,318.26416,-0.004072565716401312
325.89,318.43918,-0.004562128171141338
326.14,318.50095,-0.003723878989320714
326.45,319.55847,-0.00393640249715525
327.13,319.52023,-0.006244232543832583
326.49,319.6869,-0.003226401179941038
326.03,319.7343,-0.00042959280738895443
325.95,319.70087,0.0005825719016373267
326.0,319.7343,0.0013784653086230316
323.97,320.50934,0.009659768287836542
324.2,320.85043,0.007013997365922449
323.47,320.29697,0.007852038155997748
323.56,319.52023,0.007332412946770936
323.19,319.55173,0.008619631901840497
321.2,317.8836,0.008550174398864211
322.02,318.10095,0.006724244293645919
322.56,317.70062,0.002813243886604708
322.86,318.08502,0.002163431820991435
323.27,318.0257,-0.0002475324112750521
322.77,317.54922,-0.004887920298879182
322.72,315.94577,-0.0021737780262096936
323.27,316.68195,-0.0022011408730158097
323.0,316.68707,-0.00043362448119923917
323.32,318.17276,-0.00015466947133978214
323.81,318.0478,-0.0032221086222388095
323.5,316.59485,-0.0024169558750618885
323.71,316.68167,-0.0013610913477897662
323.17,318.187,-0.0005263157894737335
323.1,318.28317,0.0006804404305331264
322.67,318.4162,0.003520583057966049
322.0,318.32288,0.00463678516228748
322.35,318.3875,0.004201291279231277
321.73,318.26443,0.004455859145341454
321.25,318.3169,0.005725781491798275
322.2,318.29425,0.0014565965227632792
321.6,316.3587,0.0012422360248446499
321.87,316.7975,0.001489064681247148
321.8,315.62396,-0.00021757374195752083
322.0,314.9047,-0.0023346303501945525
321.75,315.1817,0.0013966480446927021
321.75,315.65253,-0.00046641791044769044
321.1,314.7853,0.0023922701711870686
320.71,315.74802,0.0033871970167807077
320.3,315.05475,0.005279503105590027
322.74,315.77814,-0.003076923076923105
322.04,315.02518,-0.000901320901320965
321.8,315.06934,-0.0021800062285891888
320.24,314.90784,0.0014654984253686212
320.7,313.75598,-0.0012488292226037379
321.62,315.67633,0.00347028567887465
321.24,315.99323,0.0024841634579555686
321.3,315.89612,0.0015537600994406462
321.78,314.99152,-0.004808893330002385
322.16,313.93802,-0.004552541315871645
322.35,314.80917,-0.0022697593433244766
321.6,315.16904,-0.0011206574523721007
322.14,315.14468,-0.0026143790849672425
321.79,315.52106,-3.1077133445359405e-05
322.19,315.5144,-9.31214303450854e-05
321.62,316.1982,0.0022646192027300084
319.9,315.95728,0.005286069651741434
319.58,315.5144,0.00794685540448253
318.82,316.15,0.009229621803039333
319.27,315.52368,0.009062975263043595
318.63,316.133,0.009296685529506899
317.5,314.99152,0.007502344482650758
317.47,313.87186,0.006602415670567485
317.06,313.8228,0.005520356313907506
316.9,313.8825,0.00742318413881669
318.1,313.78333,0.0016633713084140624
318.44,313.7562,-0.0029606299212598356
317.5,311.85706,-9.449711783781999e-05
317.52,311.85217,-0.0014508294959943845
318.01,311.85706,-0.0035026822341433063
318.46,312.34448,-0.0011317195850360162
318.74,313.7925,-0.0009420927019219048
319.36,313.7562,-0.005858267716535476
319.17,311.86282,-0.0051965230536660184
318.41,312.00833,-0.0012578220810667404
318.33,314.02014,0.00040821453243734053
318.37,314.0985,0.0011608207316308105
318.79,314.15372,0.0017848196392785357
319.4,313.846,-0.0007206191058055624
319.69,312.59796,-0.004019974247039894
319.69,314.08743,-0.004272296044984808
319.74,314.04593,-0.004303169268461238
320.5,314.13782,-0.005364032748831455
320.12,314.41595,-0.00225422667501574
319.84,314.3416,-0.00046920454189989445
320.39,314.33054,-0.002189621195533137
321.69,314.42102,-0.006098705197973318
322.18,314.51852,-0.005241809672386917
321.2,314.40506,-0.0033737348494314134
320.6,314.40506,-0.002376188094047173
320.5,314.42102,-0.0003433315646556186
321.19,314.87253,0.0015542913985514004
321.55,315.62048,0.0019554286423738142
320.88,316.03104,0.0009962640099626188
321.18,315.25845,-0.0018091079226449907
320.71,314.33054,-0.0006552262090482981
321.37,314.39023,-0.0005604159531741549
321.31,315.58368,0.0007463846991136964
321.53,315.24606,-0.0020256793817002533
322.01,315.51483,-0.0025842206862195156
322.67,315.4655,-0.006111440241963258
322.88,314.41656,-0.004698633973301773
322.95,315.4092,-0.005104105069870176
322.7,315.49997,-0.003638851740117613
322.73,315.6527,-0.002235955405111727
323.35,316.33835,-0.002107416245699962
326.61,316.2582,-0.011552279484638312
328.77,317.7618,-0.01802136553646073
328.5,317.72543,-0.017973349860551633
328.45,316.1812,-0.017723793883431878
328.3,316.35294,-0.015308489253131245
329.15,318.81897,-0.007776859251094466
329.82,320.47272,-0.003193722054932054
329.56,321.48868,-0.003226788432267891
329.51,322.12872,-0.003227279646826008
329.1,322.1258,-0.0024367956137679296
329.41,322.30875,-0.0007899134133375293
329.2,322.65436,0.001879813231459598
329.29,322.8456,0.0008192741837601098
329.8,322.84854,-0.000880094686049044
329.95,322.83124,-0.002582801580066745
330.29,322.65436,-0.002671442882729715
331.75,322.8456,-0.007746051032806839
331.76,323.05414,-0.007500986971969906
331.36,323.1996,-0.004730139478471808
331.55,323.05414,-0.004849219578724118
331.3,323.48602,-0.003057918798631478
330.65,324.13638,0.003315749811605193
330.99,324.81003,0.002320954907161749
331.38,324.79272,-6.0357315306560265e-05
331.36,324.31268,0.0005730659025787897
331.2,324.4952,0.0003018412315122932
331.31,324.49832,-0.0019960683502193407
331.7,324.43427,-0.00214507991177975
331.37,324.83392,3.0176836260459007e-05
331.25,324.51562,0.0003319652341864245
331.01,324.5127,0.0005736714975845342
331.05,324.62152,0.0007847635145331891
331.18,324.83392,0.0015676816400361224
330.61,325.11884,0.0022935087666354557
331.0,324.62424,0.0007547169811320754
330.78,324.62424,0.0006948430561010791
330.57,324.72266,0.0014499320344359408
330.68,324.76584,0.0015097530044084788
330.23,324.49783,0.0011493905205529034
330.14,324.58432,0.002598187311178289
329.29,324.52927,0.0045045045045043605
329.46,324.1516,0.003357836464288997
329.11,324.26044,0.004747792427724668
329.05,323.90536,0.003573267116857968
329.17,323.94745,0.002938147452595779
329.6,323.72067,-0.0009414194175347028
329.66,322.96533,-0.000607053967097813
328.82,322.71512,0.0008811643523442632
329.03,322.401,6.078103631678667e-05
329.79,322.5069,-0.0018835252301242656
329.46,322.53824,0.0004247572815535291
329.42,322.99615,0.0007280228113814508
328.8,322.71512,6.082355087884499e-05
329.23,322.41068,-0.0006078473087561787
329.39,322.72296,0.0012128930531551414
328.96,322.8797,0.0015176349177441876
328.94,322.73242,0.0014571064294821752
329.25,322.71512,-0.0013686131386860968
329.56,322.53824,-0.0010023387905111444
329.55,322.84094,-0.00048574637967158996
329.57,322.71307,-0.0018543287937743606
329.47,322.30273,-0.0016112360916885437
329.6,322.54086,-0.0010630220197419065
330.5,322.9864,-0.002852287899016864
330.11,322.73505,-0.001699286906387505
330.5,322.73505,-0.002821858785690466
330.54,322.73212,-0.0032476401493307223
330.23,322.84094,-0.0019114077669902772
330.28,323.07767,0.0006656580937973594
329.34,323.5999,0.0023325558147285408
329.04,324.00275,0.004417549167927321
329.4,323.80768,0.0034489017970594877
329.14,323.5999,0.003300729794385827
329.56,323.71637,0.002179968511565855
329.94,323.59653,-0.0018218254691201275
330.4,322.6855,-0.004133236080719538
330.0,322.5086,-0.0018214936247723825
329.71,322.7295,-0.0017317858661967346
329.46,322.70078,0.0003034348828742042
329.43,323.0572,0.0015457355882887523
328.98,323.0572,0.004297820823244428
329.19,323.6996,0.0024545454545454614
328.84,323.62878,0.002638682478541763
326.81,322.73212,0.008043465064044126
328.0,322.7028,0.0043408311325623256
327.96,322.71512,0.0031004924311509472
327.72,322.41068,0.004465506242595372
327.13,322.28748,0.005200097311762498
327.8,321.73013,-0.0030292830696735384
328.0,320.6649,0.0
328.4,321.72845,-0.0013416270276862964
328.94,321.72552,-0.0037226901013059023
328.76,321.0603,-0.00498272857885243
328.74,320.80017,-0.00286760219646125
329.28,321.83435,-0.0039024390243901606
328.69,322.09592,-0.000883069427527468
328.86,322.12924,0.00024320544780198237
329.35,322.17502,-0.0017946222168147945
329.35,322.29047,-0.0018555697511711798
329.31,322.51196,-9.110787172020639e-05
329.27,322.7008,-0.0017645806078675473
336.28,322.39636,-0.02256279267773508
335.86,322.51196,-0.019766206163655656
335.85,322.70615,-0.019735843327766813
335.65,322.70615,-0.01925237618049854
335.9,322.70615,-0.020135451149512547
335.38,323.35095,0.0026763411442844573
335.7,328.94095,0.000476388971595382
336.67,328.18643,-0.0024415661753758914
335.84,327.99045,-0.0005660658423953456
337.07,328.1758,-0.003483179517713653
338.91,328.36514,-0.010525374202397368
338.89,328.4493,-0.009502532022639254
338.12,328.77228,-0.004306888050613326
338.28,329.3257,-0.0072653644592663115
339.35,329.04642,-0.006764173613789508
338.61,330.19205,0.0008851907586085136
339.4,331.1406,-0.0015049130986455514
339.2,331.18576,-0.0031941322607357864
339.19,330.67773,-0.002690079224311296
339.2,331.1135,0.00044202151171367053
338.5,331.5221,0.00032485750568504664
338.34,331.4749,0.0031231585150265245
338.71,331.7885,0.00144457547169814
338.86,331.78394,0.0009729060408620068
339.07,331.78394,0.0003832547169811187
338.81,332.03128,-0.0009158050221565799
338.89,331.68475,-0.0016255837323402831
338.96,331.51633,-0.0007380945351480618
338.62,331.80835,0.0007082570973263563
338.75,332.00284,0.0009437579260919373
338.9,332.0561,-0.0002656356069772881
338.82,331.6971,0.00020655669981407886
338.72,331.8279,0.0007080481472738738
338.81,331.78024,-0.0005611009391057756
339.37,331.76495,-0.0018302583025830393
339.04,331.81158,-0.0004131012097965276
339.0,331.854,-0.0005312555339118317
339.3,331.7232,-0.0017123287671232405
339.45,331.7232,-0.0018889643162834223
339.65,331.90402,-0.0008250581960691066
339.7,332.20563,-0.0019466729589428036
339.78,332.57407,-0.002300884955752132
339.75,332.7212,-0.0013262599469495687
339.4,332.8151,0.00014729709824719804
339.15,332.86084,0.0014721036360959812
339.25,332.93393,0.0013246982631733549
338.9,332.93393,0.0025899111189593136
339.15,332.93393,0.0017660044150111045
339.11,332.9301,0.0008544490276958268
339.07,332.71283,0.00023588382721504965
339.04,332.56042,0.0006190125276344275
339.23,332.57892,-0.0009737385659487782
339.16,332.4794,-2.948547840202786e-05
339.29,332.56042,-0.0005308012149450232
339.31,332.56042,-0.0007078184445689949
339.62,332.56042,-0.0017107126002831054
339.78,332.64905,-0.001621318869203651
339.35,332.56042,-0.0005602075716475933
339.49,332.64905,-0.0005894662383211666
339.57,332.71283,-0.000766260941322068
339.5,332.84753,0.0003533360815028695
339.4,332.69336,0.0011183707104596959
339.42,332.59036,-0.0002062767054663126
339.5,332.47534,-2.94559486287988e-05
339.7,332.40036,-0.0003828371175309817
339.6,332.59036,-0.00029455081001479453
339.88,332.38672,-0.001414260459634703
340.0,332.38672,-0.0017087973602026517
340.85,332.38672,-0.003976435935198889
342.2,332.5309,-0.0073594347954077126
341.59,332.59036,-0.005859835100117645
341.41,332.74796,-0.00450158879604575
341.9,332.69336,-0.0055882352941175805
342.79,333.44595,-0.005691653219891441
343.33,333.68964,-0.0033021624780829794
343.8,334.55386,-0.006469744430457673
344.69,333.37448,-0.009607217128965093
343.93,333.54144,-0.005937408599005644
344.1,334.88284,-0.0038215817264214305
344.0,335.22473,-0.001951475257041377
342.81,335.36783,0.002879581151832487
343.28,336.57156,0.004090632162232804
343.05,337.2007,0.002558660192481015
343.79,336.4449,0.0009009009009009074
343.18,336.24573,0.0023837209302325383
342.78,335.8636,8.75120329046106e-05
343.0,335.2894,0.0008156606851548961
342.76,335.22153,0.0008453578195598906
342.9,335.52573,0.0025887896681114726
342.97,336.48584,0.0006119237717815127
342.9,335.4278,-0.0003500787677227509
343.0,335.44748,0.0
342.89,335.4278,-0.0003792741276694931
343.3,335.44748,-0.0011665208515603213
343.26,335.3687,-0.0008455550048108103
343.18,335.4453,-0.0008165645960922414
343.08,335.38623,-0.00023323615160345215
342.96,335.4453,-0.00020414710256931723
342.8,335.50934,0.0014564520827264782
343.0,335.45267,0.0007574433374118479
343.17,335.4453,2.913922722766742e-05
343.19,335.4453,-0.00032062492713073816
340.67,335.4453,0.0066771635176112775
340.36,335.3114,0.007117852975495909
340.66,335.47357,0.0068221574344022595
340.66,336.2407,0.00731415916309698
340.32,336.10327,0.0083627145313092
340.52,333.82993,0.00044030880324077287
340.9,333.24142,-0.001586555411916687
341.52,332.4662,-0.0025245112428813384
341.26,333.24142,-0.0017612869136381314
340.96,333.24142,-0.0018805829807239844
341.58,332.45352,-0.003112886174086698
341.09,333.39047,-0.0005573481959518854
341.44,333.53857,0.00023424689622857838
341.06,333.26428,0.0005860634120611518
341.18,333.26428,-0.000645236977944707
341.09,333.56454,0.0014345102172258596
341.37,333.2304,-0.0008208977102818305
342.15,333.40204,-0.002079428303655048
342.04,333.24356,-0.0028733947106081574
342.15,333.3571,-0.002843074037165046
342.56,333.24356,-0.004309712978979236
342.88,333.405,-0.004423352960131209
342.97,333.5563,-0.0023966096741196846
343.45,334.44543,-0.004122324874283616
343.35,334.48877,-0.00350723366944336
343.15,334.69827,-0.0017223260158803566
343.35,335.15308,-0.0013707419505367105
343.07,335.06573,-0.0002915706913140096
343.24,335.34375,0.0006114427136409362
343.8,335.13068,-0.001310615989515039
344.6,335.13068,-0.0042255573364419225
345.31,335.28046,-0.005708460754332254
346.36,335.13068,-0.009589879616404876
346.55,335.28046,-0.00964339820533738
345.8,335.36172,-0.005817335660267597
345.9,336.57156,-0.0037724898432964435
346.03,336.56107,-0.0020850829689263864
346.38,337.5606,-5.7743388381977735e-05
346.18,339.11328,0.0010676670033184375
345.83,338.91382,-8.675534991316575e-05
345.46,338.5968,0.0012720439433362178
345.3,338.642,0.0021096436725138324
345.64,338.642,0.002136382008199114
345.99,338.9572,0.0005488474204171174
345.75,338.45218,0.0002313275308677214
