true_close,predicted_close,return
486.7,486.14786,0.0
485.8,486.8148,0.0
485.9,487.6122,0.0
485.5,488.03912,0.0
485.7,488.47308,0.0
485.9,487.1061,0.0
485.7,486.36838,0.0
485.7,486.14786,0.0
485.5,486.7853,0.0
485.4,485.7983,0.0
486.2,486.18005,0.0
486.5,486.59113,0.0
484.9,485.9029,0.0
483.8,485.7619,0.0
483.9,485.61987,0.0
484.3,486.39972,0.0
483.6,486.6668,0.0
485.0,485.6749,0.0
485.4,484.9636,0.0
486.6,485.5492,0.0
486.8,485.72882,0.0
487.5,484.95477,0.0
487.8,484.6807,0.0
488.0,485.73557,0.0
487.3,486.51865,0.0
486.9,487.00287,0.0
487.5,487.52023,0.0
486.6,487.76242,0.0
487.1,487.7315,0.0
486.1,486.82352,0.0
485.5,487.23154,0.0
484.4,487.54074,0.0
484.4,486.8221,0.0
485.6,487.23105,0.0
485.6,486.4181,0.0
485.5,485.76892,0.0
485.3,484.69287,0.0
485.6,485.32104,0.0
487.2,486.2159,0.0
487.5,485.82047,0.0
486.8,485.82047,0.0
487.3,485.5815,0.0
489.2,485.79373,0.0
488.8,487.06476,0.0
488.6,487.42722,0.0
489.0,486.82352,0.0
489.8,487.54074,0.0
488.9,488.34802,0.0
488.4,489.6309,0.0
487.6,489.45703,0.0
487.5,489.52902,0.0
481.7,490.47192,0.0
483.0,490.0547,0.0
482.7,489.79367,0.0
481.1,489.33365,0.0
480.5,487.91888,0.0
481.0,484.21964,-0.0014531866306829741
481.4,484.64276,0.0
481.0,483.8403,0.0
482.9,482.26965,0.0
482.3,480.69302,0.0
482.2,481.76877,0.0
482.0,481.5754,0.0
482.0,481.31082,0.0
481.0,482.57068,0.0
481.3,483.4182,0.0
481.3,483.8701,0.0
481.7,483.83142,0.0
481.7,483.84393,0.0
481.5,483.1125,0.0
481.8,481.67532,0.0
481.4,481.4451,0.0
480.9,481.69934,0.0
481.0,483.89087,0.0
480.3,483.83405,0.0
480.1,481.69934,0.0
480.6,483.69327,0.0
479.7,481.2714,0.0
480.2,481.409,0.0
480.2,480.5457,0.0
480.2,481.2778,0.0
479.7,481.72018,0.0
479.5,480.54428,0.0
479.0,480.44086,0.0
479.4,481.339,0.0
